75.0076,
3.03275,
5.83909,
6.65059,
0.323954,
1.75252,
2.94914,
1.66534,
2.54537,
1.49553,
4.89661,
0.660076,
3.8338,
4.00956,
2.59343,
6.18701,
6.59719,
4.26675,
4.5925,
4.17085,
1.87123,
1.01214,
1.27324,
0.975914,
3.5193,
10.8464,
0.222843,
1.54502,
3.85395,
2.49806,
0.968402,
1.77548,
0.657586,
4.65248,
1.79863,
3.3695,
1.19292,
0.631784,
0.236491,
0.600994,
4.24475,
0.315459,
2.3356,
0.639751,
1.03453,
2.79499,
7.01943,
2.94593,
4.85444,
10.6472,
3.73752,
3.19281,
2.11107,
1.30388,
0.853273,
1.38457,
3.4136,
7.82938,
1.38722,
1.86968,
0.289225,
6.4294,
6.16776,
2.34344,
2.02547,
6.66004,
1.78944,
3.01814,
3.22941,
10.0913,
3.19438,
5.68753,
2.16122,
1.31778,
0.379249,
2.35113,
1.76464,
2.58885,
0.934722,
1.07181,
4.12897,
5.65516,
1.01981,
2.32619,
1.49847,
4.4817,
0.107563,
3.51248,
0.219046,
0.457169,
2.80973,
2.04025,
1.73864,
4.61859,
1.47753,
1.37643,
7.13791,
3.39673,
2.41817,
3.20467,
2.06526,
5.01237,
1.06989,
2.06256,
0.96823,
2.41144,
1.78818,
3.25376,
1.05976,
1.0459,
3.5734,
3.82704,
2.80383,
2.90098,
1.34331,
1.50816,
0.498498,
2.56643,
1.79067,
2.86646,
5.48588,
5.65886,
1.65253,
4.14402,
3.29587,
2.22815,
0.249474,
2.22366,
1.17861,
4.12865,
0.766902,
0.196703,
4.00198,
0.572333,
1.09196,
5.24959,
5.91364,
3.9308,
5.39103,
2.76857,
4.13668,
3.04969,
1.11325,
0.255871,
4.46608,
0.464726,
0.392644,
2.54779,
4.06584,
0.359199,
6.44974,
0.884952,
6.90375,
1.04424,
1.91512,
1.26061,
1.84368,
1.97185,
2.60088,
1.80153,
2.72887,
3.78586,
2.93037,
0.261604,
4.54939,
2.02564,
2.29469,
5.18221,
7.90971,
1.69834,
0.707008,
1.68898,
3.95549,
1.12995,
4.93567,
1.54282,
2.41562,
1.89312,
6.63704,
1.93904,
0.964894,
3.53927,
1.75601,
0.915833,
1.95718,
3.47953,
0.311051,
1.85771,
1.32496,
6.38119,
0.215035,
11.1061,
3.53633,
0.496178,
1.41849,
1.01101,
1.99665,
1.68829,
5.17316,
2.23754,
2.7537,
1.78262,
7.16047,
8.28151,
0.236799,
0.777184,
2.90992,
2.14101,
1.13077,
0.613434,
8.94981,
2.30812,
0.938022,
3.20277,
4.76872,
1.85019,
5.55112,
1.5297,
2.58562,
5.78832,
